2019학년도 1학기 개설 교과목 현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
단과대학,개설학과,학년,이수구분,"트랙
이수구분",트랙,학수번호,분반,과목명,학점,담당교수,"수업
구분",강의요일 및 교시,강의실,비고
사회과학대학,글로벌창업전공,4,전공과목,,,0ABV1084,1,사내기업가정신,3,박상조,주간(천안),목1~3,천)벤교302-e,글로벌창업전공 개설 교과목 중 본 내용에 미표기된 과목은 학과사무실로 문의
사회과학대학,글로벌통상학과,2,전공과목,,,0ABP0004,1,글로벌정치의이해,3,박광섭,주간(천안),월3~4/수2,천)1호관B02-e,
사회과학대학,글로벌통상학과,2,전공과목,,,0ABP0005,1,산업조직론,3,정군오,주간(천안),화1~2/수3,천)1호관305-e/천)2호관101-e,
사회과학대학,글로벌통상학과,2,전공과목,,,0ABP0053,1,무역정보의이해,3,김금수,주간(천안),월6/수6~7,천)1호관305-e,
사회과학대학,글로벌통상학과,3,전공과목,,,0ABP0018,1,동남아 연구,3,박광섭,주간(천안),월6/화5~6,천)1호관B02-e,
사회과학대학,글로벌통상학과,3,전공과목,,,0ABP0019,1,글로벌경제의 이해,3,정군오,주간(천안),목1~2/금1,천)1호관305-e,
사회과학대학,글로벌통상학과,3,전공과목,,,0ABP0027,1,국제 무역론,3,김금수,주간(천안),화2/목3~4,천)1호관B02-e/천)3호관101-e(소강당),
사회과학대학,글로벌통상학과,3,전공과목,,,0ABP0050,1,글로벌통상환경론,3,김보인,주간(천안),화3/목6~7,천)1호관B02-e,
사회과학대학,글로벌통상학과,3,전공과목,,,0ABP0054,1,무역영어서식의이해,3,이지수,주간(천안),월5/수4~5,천)1호관B02-e,
사회과학대학,글로벌통상학과,4,전공과목,,,0ABP0032,1,글로벌협상기술론,3,박광섭,주간(천안),수4~5/목6,천)1호관305-e,
사회과학대학,글로벌통상학과,4,전공과목,,,0ABP0034,1,국제자원환경론,3,김금수,주간(천안),월4~5/수3,천)1호관305-e,
사회과학대학,글로벌통상학과,4,전공과목,,,0ABP0038,1,FTA 비교연구,3,이지수,주간(천안),월6/화3~4,천)1호관207-e,
사회과학대학,디지털기술경영전공,1,전공과목,,,0ABU1123,1,디지털콘텐츠제작의이해1,3,채성욱,주간(천안),월5~6/목3,천)1호관209,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,1,전공과목,,,0ABU1123,2,디지털콘텐츠제작의이해1,3,채수만,주간(천안),월7~8/수6,천)1호관209,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,2,전공과목,,,0ABU1063,1,커뮤니케이션과 팀워크,3,송경석,주간(천안),화5/목7~8,천)1호관202-e/천)1호관B12,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,2,전공과목,,,0ABU1067,1,경영통계,3,조상섭,주간(천안),수8/목3~4,천)벤교302-e/천)1호관304,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,2,전공과목,,,0ABU1070,1,경영정보시스템,3,강소라,주간(천안),화3/수5~6,천)1호관209/천)1호관210,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,2,전공과목,,,0ABU1072,1,디지털콘텐츠비즈니스개론,3,채수만,주간(천안),월4/수2~3,천)1호관209/천)1호관210,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,2,전공과목,,,0ABU1075,1,벤처경영과 창업의 이해,3,김연정,주간(천안),월2~3/목2,천)벤교302-e/천)1호관209,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,3,전공과목,,,0ABU1077,1,고급웹프로그래밍,3,채성욱,주간(천안),월2~3/화1,천)1호관209,타전공 수강 희망시 학과사무실로 연락 요망
